Title,Published date,Issues,Number of signatures
Find Missing US ARMY Soldier Vanessa Guillen,"Created by F.H. on May 23, 2020","[<h6>Civil Rights &amp; Equality</h6>, <h6>Criminal Justice Reform</h6>, <h6>Veterans &amp; Military</h6>]","182,581"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"Created by Y.K. on June 11, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Criminal Justice Reform</h6>, <h6>Government &amp; Regulatory Reform</h6>]","177,347"
Global Magnitsky Act for Pro-Beijing officials of the Hong Kong Executive Council,"Created by P.S. on September 10, 2019",[<h6>Foreign Policy</h6>],"175,043"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"Created by K.O. on August 05, 2019","[<h6>Foreign Policy</h6>, <h6>Gun Violence</h6>, <h6>Homeland Security &amp; Defense</h6>]","171,175"
Stop Donald Trump from signing the federal flavor ban of e-cig products.,"Created by J.P. on September 11, 2019","[<h6>Budget &amp; Taxes</h6>, <h6>Civil Rights &amp; Equality</h6>]","167,518"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","Created by A.J. on June 19, 2018",[<h6>Foreign Policy</h6>],"166,472"
"RAISE THE DEGREE - Remove bail for Derek Chauvin, murderer of George Floyd","Created by P.A. on May 30, 2020",[<h6>Civil Rights &amp; Equality</h6>],"155,016"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","Created by J.P. on March 03, 2019",[<h6>Foreign Policy</h6>],"152,889"
"Hong Kong say NO to Carrie Lam's so-called ""concessions"", Continue Call the US to Pass HK Human Rights and Democracy Act","Created by R.L. on September 04, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>]","150,924"
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"Created by W.S. on August 10, 2019",[<h6>Foreign Policy</h6>],"145,860"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"Created by C.K. on February 16, 2018",[<h6>Veterans &amp; Military</h6>],"145,598"
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","Created by R.L. on January 04, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Homeland Security &amp; Defense</h6>]","144,581"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"Created by F.C. on January 20, 2017","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>, <h6>Government &amp; Regulatory Reform</h6>]","144,078"
ARREST THE KILLERS OF BREONNA TAYLOR,"Created by D.S. on July 26, 2020","[<h6>Civil Rights &amp; Equality</h6>, <h6>Criminal Justice Reform</h6>]","144,064"
Tell Congress the American People need The Emergency Money for the People Act to pass.,"Created by M.J. on April 15, 2020",[<h6>Economy &amp; Jobs</h6>],"139,167"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","Created by R.H. on June 30, 2018","[<h6>Criminal Justice Reform</h6>, <h6>Economy &amp; Jobs</h6>]","137,465"
Revoke the visas of Chinese college students who disrupted the otherwise peaceful pro-Hong Kong protests,"Created by K.C. on August 20, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>, <h6>Homeland Security &amp; Defense</h6>]","136,215"
Extradition Law Amendment in Hong Kong - Threat to Personal Safety and Freedom,"Created by D.L. on May 15, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>]","135,179"
Please send US Armed force to Hong Kong to rescue citizens from the massacre carried out by the Hong Kong Police Force.,"Created by A.H. on September 11, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>, <h6>Gun Violence</h6>]","134,828"
Protect Free Speech in the Digital Public Square,"Created by W.C. on August 28, 2018","[<h6>Civil Rights &amp; Equality</h6>, <h6>Technology &amp; Innovation</h6>]","133,847"
The conservatorship and civil liberties of Britney Spears.,"Created by M.J. on July 09, 2020",[<h6>Civil Rights &amp; Equality</h6>],"133,800"
Please expose the truths and punish brutality to youngsters in San Uk Ling Holding Centre in Hong Kong.,"Created by A.H. on September 16, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Government &amp; Regulatory Reform</h6>]","131,463"
Hong Kong Universal Suffrage Plan,"Created by C.C. on January 02, 2020",[<h6>Foreign Policy</h6>],"131,313"
The United States should formally recognize Taiwan as the independently governed nation it has been for over 60 years.,"Created by K.W. on October 07, 2019",[<h6>Foreign Policy</h6>],"129,826"
Reform the police by instituting heavy racial sensitivity training and being held accountable for racial injustices.,"Created by D.F. on May 30, 2020","[<h6>Civil Rights &amp; Equality</h6>, <h6>Criminal Justice Reform</h6>]","129,130"
Expulsion For Maxine Waters - Remove Her From Congress,"Created by A.M. on June 25, 2018","[<h6>Government &amp; Regulatory Reform</h6>, <h6>Homeland Security &amp; Defense</h6>, <h6>Immigration</h6>]","127,776"
Save the people of Iraq from their corrupt government of the last 16+ years.,"Created by R.D. on October 02, 2019",[<h6>Foreign Policy</h6>],"126,570"
Stop HK Police sexually assaulting protestors. Please pass the Hong Kong Human Rights and Democracy Act.,"Created by A.H. on August 29, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>, <h6>Government &amp; Regulatory Reform</h6>]","126,193"
STOP THE COLLECTIVE PUNISHMENT OF MINORITIES IN SOUTH AFRICA,"Created by S.H. on October 12, 2018","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>]","125,399"
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide,"Created by G.P. on October 27, 2017",[<h6>Foreign Policy</h6>],"124,841"
"Make Yu HOI KWAN and her immediate family members ineligible for U.S. Entry, Citizenship and Visas","Created by T.D. on October 15, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>]","124,476"
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa,"Created by C.W. on March 15, 2018",[<h6>Immigration</h6>],"123,333"
"Sanction Hong Kong government for its State Terrorism  conducted in Prince Edward train station, Hong Kong on 8/31","Created by H.K. on August 31, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>]","123,285"
Justice for Jamarion Robinson.,"Created by W.W. on August 08, 2020","[<h6>Civil Rights &amp; Equality</h6>, <h6>Criminal Justice Reform</h6>, <h6>Gun Violence</h6>]","121,266"
Please pass the bill “Hong Kong Human Rights and Democracy Act”,"Created by J.J. on July 08, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>]","121,015"
"Make Kong Wing Cheung and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","Created by T.S. on October 10, 2019",[<h6>Immigration</h6>],"120,925"
Please nominate the Hong Kong freedom fighters for the Nobel Peace Prize 2020,"Created by A.H. on August 17, 2019","[<h6>Civil Rights &amp; Equality</h6>, <h6>Foreign Policy</h6>, <h6>Government &amp; Regulatory Reform</h6>]","120,875"
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai,"Created by G.S. on November 23, 2017","[<h6>Civil Rights &amp; Equality</h6>, <h6>Technology &amp; Innovation</h6>]","120,095"
Bring our loved ones back from “Al Udeid” Air Base,"Created by A.R. on November 18, 2019","[<h6>Homeland Security &amp; Defense</h6>, <h6>Veterans &amp; Military</h6>]","120,059"
Save the United States Postal Service,"Created by M.L. on July 15, 2020","[<h6>Civil Rights &amp; Equality</h6>, <h6>Economy &amp; Jobs</h6>, <h6>Transportation &amp; Infrastructure</h6>]","118,963"
